loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_f1_macro,eval_precision_macro,eval_recall_macro,eval_best_thresh,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.7411951224009196,5.871485710144043,6.5277777777777784e-06,1.0,48,,,,,,,,,,,,,
,,,1.0,48,0.5963184833526611,0.2622551248262977,0.2577149848280562,0.3961178595961204,0.39999999999999997,12.7212,7.468,0.943,,,,,
0.6410853862762451,7.1994218826293945,1.3194444444444446e-05,2.0,96,,,,,,,,,,,,,
,,,2.0,96,0.5197960734367371,0.36113124181428075,0.3974028275261942,0.44336008596878157,0.5499999999999999,13.0113,7.301,0.922,,,,,
0.5958069165547689,43.44709777832031,1.9861111111111114e-05,3.0,144,,,,,,,,,,,,,
,,,3.0,144,0.437423974275589,0.41838194165478615,0.39293656308033714,0.6218693142606188,0.44999999999999996,12.4428,7.635,0.964,,,,,
0.3822214603424072,23.62327766418457,1.927469135802469e-05,4.0,192,,,,,,,,,,,,,
,,,4.0,192,0.38546472787857056,0.484204322824224,0.47353276811416173,0.6443875609093,0.39999999999999997,12.4171,7.651,0.966,,,,,
0.2846533457438151,19.305891036987305,1.853395061728395e-05,5.0,240,,,,,,,,,,,,,
,,,5.0,240,0.3578346371650696,0.5294609823118298,0.4921855272822996,0.6754115691072214,0.39999999999999997,12.4836,7.61,0.961,,,,,
0.23618483543395996,13.85448169708252,1.779320987654321e-05,6.0,288,,,,,,,,,,,,,
,,,6.0,288,0.3741263449192047,0.557498758423519,0.5610218855218855,0.6334133258046303,0.39999999999999997,12.5349,7.579,0.957,,,,,
0.1828855276107788,11.699647903442383,1.705246913580247e-05,7.0,336,,,,,,,,,,,,,
,,,7.0,336,0.3539205491542816,0.547190150620371,0.5324834069811581,0.6682369241064893,0.35,12.4592,7.625,0.963,,,,,
0.14922590057055155,8.328463554382324,1.631172839506173e-05,8.0,384,,,,,,,,,,,,,
,,,8.0,384,0.3780643343925476,0.5860251415510882,0.6275222680431994,0.6221391973565886,0.5499999999999999,12.717,7.47,0.944,,,,,
0.1225332220395406,6.389008045196533,1.5570987654320986e-05,9.0,432,,,,,,,,,,,,,
,,,9.0,432,0.3963342010974884,0.5818798950599416,0.569738286404953,0.6302768889725411,0.35,12.5711,7.557,0.955,,,,,
0.0918557345867157,5.846565246582031,1.4830246913580248e-05,10.0,480,,,,,,,,,,,,,
,,,10.0,480,0.4112917184829712,0.6430072919065701,0.7486454485175713,0.602627935671414,0.7,12.557,7.566,0.956,,,,,
0.07545692225297292,9.266109466552734,1.4089506172839507e-05,11.0,528,,,,,,,,,,,,,
,,,11.0,528,0.3580379784107208,0.6340526464984825,0.6314660154660156,0.6796905912123303,0.49999999999999994,12.5549,7.567,0.956,,,,,
0.06152444581190745,4.3633131980896,1.3348765432098767e-05,12.0,576,,,,,,,,,,,,,
,,,12.0,576,0.3931596577167511,0.6301417546311622,0.6715410969879941,0.6370723801158584,0.35,12.4968,7.602,0.96,,,,,
0.049870386719703674,2.6120409965515137,1.2608024691358025e-05,13.0,624,,,,,,,,,,,,,
,,,13.0,624,0.48216766119003296,0.6499564147811465,0.6838295233032076,0.6502629817847209,0.35,12.505,7.597,0.96,,,,,
0.03984363873799642,3.8364622592926025,1.1867283950617285e-05,14.0,672,,,,,,,,,,,,,
,,,14.0,672,0.510615885257721,0.6540730775465046,0.685978835978836,0.6490113348809,0.44999999999999996,12.5834,7.55,0.954,,,,,
0.036864819626013436,2.2382140159606934,1.1126543209876543e-05,15.0,720,,,,,,,,,,,,,
,,,15.0,720,0.4819338023662567,0.6666166671730018,0.6867922844734439,0.6790979149674802,0.3,12.5554,7.566,0.956,,,,,
0.026687112947305042,3.9005775451660156,1.0385802469135803e-05,16.0,768,,,,,,,,,,,,,
,,,16.0,768,0.49548742175102234,0.6614316111669795,0.7082238934221031,0.6422941631637283,0.6499999999999999,12.5172,7.59,0.959,,,,,
0.02331463744242986,8.114898681640625,9.645061728395062e-06,17.0,816,,,,,,,,,,,,,
,,,17.0,816,0.5154414772987366,0.6389929111460743,0.701019836041575,0.6108185373402765,0.44999999999999996,12.5681,7.559,0.955,,,,,
0.022487173477808636,1.15548837184906,8.904320987654322e-06,18.0,864,,,,,,,,,,,,,
,,,18.0,864,0.5286253094673157,0.6125699812180575,0.6745658240395082,0.5923446682142334,0.35,12.4904,7.606,0.961,,,,,
,,,18.0,864,,,,,,,,,3880.8095,2.922,0.371,579681335116800.0,0.20909425492088
