epoch,train_loss,eval_loss,eval_f1_macro,eval_precision_macro,eval_recall_macro,eval_best_thresh,learning_rate
1,0.7030942589044571,0.6473705669244131,0.2627822974935893,0.1643909921359334,0.8783333333333334,0.49999999999999994,0.0002
2,0.6684849821031094,0.6170172890027364,0.2815365540502166,0.25591259230965113,0.5488531275487797,0.5499999999999999,0.0002
3,0.6165914262334505,0.5563863267501196,0.31620060943806466,0.2870692245020697,0.6805280548758809,0.5999999999999999,0.0002
4,0.5391575880348682,0.48979749778906506,0.3511290550998854,0.28564191404574174,0.688008448878014,0.5999999999999999,0.0002
5,0.4571518947680791,0.4461126575867335,0.3871295638008697,0.39308440693580005,0.5425383151470108,0.6499999999999999,0.0002
6,0.3774883871277173,0.41676993668079376,0.4218655905048035,0.4145798954293687,0.5500783113826592,0.6499999999999999,0.0002
7,0.3197786087791125,0.4075617144505183,0.4479962658319869,0.3782499164660289,0.6621747495660539,0.5999999999999999,0.0002
8,0.2679936829954386,0.4365853816270828,0.4462561204398181,0.40367570344159454,0.590976326411109,0.5999999999999999,0.0002
9,0.23121896448234716,0.4185470292965571,0.4735818357835164,0.5068196333111943,0.5168667001275696,0.7,0.0002
10,0.19023139340182146,0.4168714185555776,0.5232898628425132,0.5378901989911807,0.5675691699604742,0.6499999999999999,0.0002
11,0.16881521977484226,0.4372141510248184,0.5272111438200325,0.6151190476190477,0.5268982788548005,0.7,0.0002
12,0.14164232090115547,0.4485234518845876,0.5344953648078792,0.47208348592494936,0.6799861973775018,0.5499999999999999,0.0002
13,0.12207172283281882,0.4183955043554306,0.5400514799644858,0.4813797599109717,0.6507693916389569,0.5499999999999999,0.0002
14,0.10568161867558956,0.5074799855550131,0.5696123750503546,0.5835301846491104,0.5761531463705377,0.6499999999999999,0.0002
15,0.09801070485264063,0.5252435257037481,0.5857008972648071,0.6008624708624708,0.6120218750653533,0.5999999999999999,0.0002
16,0.08021447869638602,0.5348496288061142,0.5737103807220715,0.5907298253064843,0.5959650333563377,0.5999999999999999,0.0002
17,0.07279254030436277,0.5304384827613831,0.5534573309229128,0.5937654320987654,0.5480213104126147,0.6499999999999999,0.0002
18,0.061802270356565714,0.5905535221099854,0.5666161168170972,0.6329936729936729,0.5363853859506033,0.6499999999999999,0.0002
