loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_f1_macro,eval_precision_macro,eval_recall_macro,eval_best_thresh,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.7343206405639648,5.4110331535339355,6.3888888888888885e-06,1.0,24,,,,,,,,,,,,,
,,,1.0,24,0.6551187038421631,0.25874538902055616,0.1904251199106343,0.5275686471338645,0.5499999999999999,13.9701,6.8,0.429,,,,,
0.6355101664861044,4.614011764526367,1.3055555555555557e-05,2.0,48,,,,,,,,,,,,,
,,,2.0,48,0.5453718304634094,0.34678731407468977,0.3376815551121128,0.5373239481935134,0.5999999999999999,21.0876,4.505,0.285,,,,,
0.5572836001714071,4.345660209655762,1.9722222222222224e-05,3.0,72,,,,,,,,,,,,,
,,,3.0,72,0.48395851254463196,0.3839824896186046,0.3878530945020307,0.5108584491193187,0.6499999999999999,21.0515,4.513,0.285,,,,,
0.46367184321085614,9.810342788696289,1.9290123456790123e-05,4.0,96,,,,,,,,,,,,,
,,,4.0,96,0.43081483244895935,0.4586713306221315,0.45433492735670594,0.5780950289645941,0.6499999999999999,13.2129,7.19,0.454,,,,,
0.37216444810231525,7.162333965301514,1.8549382716049385e-05,5.0,120,,,,,,,,,,,,,
,,,5.0,120,0.4089929759502411,0.5001371726922993,0.5377816075107096,0.5631250392119956,0.7,13.1274,7.237,0.457,,,,,
0.3224991162618001,40.78277587890625,1.7808641975308643e-05,6.0,144,,,,,,,,,,,,,
,,,6.0,144,0.4063754975795746,0.5114542901479562,0.46603213192491316,0.6986660601877992,0.5999999999999999,13.1594,7.219,0.456,,,,,
0.27938417593638104,6.312513828277588,1.70679012345679e-05,7.0,168,,,,,,,,,,,,,
,,,7.0,168,0.3447548449039459,0.5501672903511985,0.5444126950887387,0.6346118454814107,0.7,13.1225,7.239,0.457,,,,,
0.2560660044352214,12.033318519592285,1.632716049382716e-05,8.0,192,,,,,,,,,,,,,
,,,8.0,192,0.3985760807991028,0.5566442699456039,0.49267711968512884,0.715761862935776,0.5999999999999999,13.1437,7.228,0.456,,,,,
0.2272919217745463,4.138564586639404,1.558641975308642e-05,9.0,216,,,,,,,,,,,,,
,,,9.0,216,0.36943966150283813,0.5688803854043724,0.48495437434161315,0.7393928937407198,0.5499999999999999,13.1562,7.221,0.456,,,,,
0.20180575052897134,8.300410270690918,1.484567901234568e-05,10.0,240,,,,,,,,,,,,,
,,,10.0,240,0.34791287779808044,0.5930100851735374,0.5965649005277488,0.6438924441098354,0.7,13.2139,7.189,0.454,,,,,
0.18548202514648438,10.138870239257812,1.410493827160494e-05,11.0,264,,,,,,,,,,,,,
,,,11.0,264,0.342591792345047,0.6142400917567455,0.6327576018752491,0.6418920049354832,0.7,13.1341,7.233,0.457,,,,,
0.15735233823458353,5.147302627563477,1.3364197530864198e-05,12.0,288,,,,,,,,,,,,,
,,,12.0,288,0.3730970621109009,0.6239273896834872,0.6459067341676037,0.6465361611013785,0.7,13.1269,7.237,0.457,,,,,
0.14457353949546814,6.6993255615234375,1.2623456790123458e-05,13.0,312,,,,,,,,,,,,,
,,,13.0,312,0.36951306462287903,0.6356777154923244,0.6053384642994248,0.715773365121191,0.5999999999999999,12.981,7.318,0.462,,,,,
0.12841913104057312,7.138522624969482,1.1882716049382716e-05,14.0,336,,,,,,,,,,,,,
,,,14.0,336,0.4274004101753235,0.6214353036255909,0.6647561210719106,0.6322989731685384,0.7,13.1105,7.246,0.458,,,,,
0.10725108782450359,5.970251560211182,1.1141975308641976e-05,15.0,360,,,,,,,,,,,,,
